"","iso3c","date","value","indicatorID","indicator","iso2c","country"
"139","EAR","2002",96043689.0614197,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"140","EAR","2001",90311820.9127908,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"141","EAR","2000",91314114.4612415,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"142","LTE","2018",333351809.281881,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"143","LTE","2017",316724202.664566,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"144","LTE","2016",298565095.875808,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"145","LTE","2015",289781779.467031,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"146","LTE","2014",277645359.397536,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"147","LTE","2013",271179197.29927,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"148","LTE","2012",258610441.795509,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"149","LTE","2011",243099328.211547,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"150","LTE","2010",228353323.163951,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"151","LTE","2009",213927018.846793,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"152","LTE","2008",221185381.738203,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"153","LTE","2007",220091233.616568,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"154","LTE","2006",203747988.742073,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"155","LTE","2005",191422988.165168,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"156","LTE","2004",180439169.277862,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"157","LTE","2003",155800390.723211,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"158","LTE","2002",160992769.59808,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"159","LTE","2001",154896152.054962,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"160","LTE","2000",150586855.864861,"ST.INT.ARVL","International tourism, number of arrivals","V3","Late-demographic dividend"
"161","LAC","2018",93083127.4089447,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"162","LAC","2017",89250000,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"163","LAC","2016",82116300,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"164","LAC","2015",77185000,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"165","LAC","2014",72308100,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"166","LAC","2013",64008400,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"167","LAC","2012",62112000,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
